city,lat,Lon,temp,humidity,Wind_speed,Cloudiness,Country_code,Date
kruisfontein,-34.0,24.73,23.33,67,4.92,51,ZA,1602857035
palenque,17.52,-91.97,24.93,84,0.65,67,MX,1602857035
mackay,-21.15,149.2,22.0,60,6.7,40,AU,1602856802
krasnoselkup,65.7,82.47,-1.37,99,5.06,100,RU,1602857035
camana,-16.62,-72.71,20.8,61,3.59,5,PE,1602857035
axim,4.87,-2.24,27.06,80,5.02,62,GH,1602857036
albany,42.6,-73.97,11.11,89,0.31,100,US,1602857036
kudahuvadhoo,2.67,72.89,28.41,77,9.46,100,MV,1602857036
tosya,41.02,34.04,23.0,28,1.0,0,TR,1602857036
victor harbor,-35.57,138.62,13.33,86,0.45,100,AU,1602857036
mataura,-46.19,168.86,6.11,82,1.34,59,NZ,1602857036
norman wells,65.28,-126.83,-7.0,79,6.2,75,CA,1602857037
port elizabeth,-33.92,25.57,20.0,77,10.8,40,ZA,1602857037
makakilo city,21.35,-158.09,25.0,94,1.5,20,US,1602856755
mahebourg,-20.41,57.7,26.0,65,5.1,20,MU,1602857037
sitka,57.05,-135.33,9.0,66,3.6,90,US,1602857037
kapaa,22.08,-159.32,23.0,100,2.6,75,US,1602856748
punta arenas,-53.15,-70.92,6.0,87,4.1,75,CL,1602857037
rikitea,-23.12,-134.97,23.06,79,7.68,100,PF,1602857038
ushuaia,-54.8,-68.3,7.0,66,7.7,20,AR,1602857038
takoradi,4.88,-1.76,27.31,79,5.75,64,GH,1602857027
bassar,9.25,0.78,30.0,42,2.6,49,TG,1602857021
new norfolk,-42.78,147.06,5.56,68,1.09,100,AU,1602857038
hobart,-42.88,147.33,8.0,65,3.1,100,AU,1602856993
saint george,37.1,-113.58,15.0,15,7.7,1,US,1602857038
gualeguay,-33.14,-59.31,23.21,56,3.84,0,AR,1602857039
saskylakh,71.92,114.08,-12.13,95,1.29,80,RU,1602857039
bredasdorp,-34.53,20.04,22.0,60,8.7,0,ZA,1602857039
matay,28.42,30.78,32.96,22,6.63,0,EG,1602857039
lom sak,16.78,101.24,24.26,91,3.4,100,TH,1602857039
dikson,73.51,80.55,-1.86,97,4.2,100,RU,1602857039
manono,-7.3,27.42,32.96,41,2.33,44,CD,1602857039
vila,42.03,-8.16,17.78,48,4.02,97,PT,1602857040
arraial do cabo,-22.97,-42.03,24.0,73,5.7,75,BR,1602857040
bambous virieux,-20.34,57.76,26.0,65,5.1,20,MU,1602857040
busselton,-33.65,115.33,13.33,51,6.31,0,AU,1602857040
floro,61.6,5.03,12.0,66,0.5,0,NO,1602857040
pemberton,50.32,-122.8,9.44,100,2.1,90,CA,1602857040
hasaki,35.73,140.83,16.0,77,5.7,75,JP,1602856861
saint-philippe,-21.36,55.77,26.0,69,4.6,50,RE,1602857041
manbij,36.53,37.95,28.0,23,0.5,0,SY,1602857041
saldanha,-33.01,17.94,25.0,38,5.7,0,ZA,1602857041
san cristobal,7.77,-72.22,28.0,58,2.1,40,VE,1602857041
souillac,-20.52,57.52,26.0,65,5.1,20,MU,1602857041
cape town,-33.93,18.42,28.0,26,6.2,0,ZA,1602856803
mehamn,71.04,27.85,3.0,69,3.1,75,NO,1602857042
coquimbo,-29.95,-71.34,12.0,93,0.5,90,CL,1602857042
rio gallegos,-51.62,-69.22,13.0,43,1.5,40,AR,1602857042
hofn,64.25,-15.21,9.0,70,1.0,0,IS,1602857042
hamilton,39.18,-84.53,7.22,65,0.45,0,US,1602856806
lwowek slaski,51.11,15.59,9.44,90,1.34,100,PL,1602857042
ulaangom,49.98,92.07,1.85,84,0.95,0,MN,1602856859
chuy,-33.7,-53.46,19.79,69,4.71,100,UY,1602856925
paamiut,61.99,-49.67,5.81,78,13.88,100,GL,1602857043
coihaique,-45.58,-72.07,12.0,62,10.3,40,CL,1602857043
port alfred,-33.59,26.89,20.11,76,12.8,93,ZA,1602857043
hithadhoo,-0.6,73.08,28.8,74,9.13,93,MV,1602857043
dalhousie,32.53,75.98,14.04,54,2.66,0,IN,1602857044
leshukonskoye,64.9,45.76,0.36,96,3.41,100,RU,1602857044
hermanus,-34.42,19.23,28.89,43,1.79,0,ZA,1602857044
esperance,-33.87,121.9,10.0,93,3.1,0,AU,1602856955
narsaq,60.92,-46.05,12.0,30,8.7,40,GL,1602857044
vaini,-21.2,-175.2,24.0,94,1.0,90,TO,1602857044
atuona,-9.8,-139.03,25.76,77,8.21,1,PF,1602857044
antofagasta,-23.65,-70.4,20.0,67,5.7,20,CL,1602857045
tasiilaq,65.61,-37.64,4.0,93,1.5,75,GL,1602857045
jacksonville,30.33,-81.66,26.11,83,3.6,75,US,1602856948
bengkulu,-3.8,102.27,25.8,85,1.68,100,ID,1602856840
mezen,65.85,44.24,1.22,96,3.07,100,RU,1602857045
qaanaaq,77.48,-69.36,-4.66,81,3.42,1,GL,1602857045
hilo,19.73,-155.09,23.0,73,2.6,40,US,1602857045
urucara,-2.54,-57.76,35.5,37,2.36,60,BR,1602857046
petropavlovsk-kamchatskiy,53.05,158.65,0.0,82,1.0,40,RU,1602857046
phuket,8.0,98.25,28.33,83,4.6,75,TH,1602857046
darnah,32.77,22.64,33.56,23,7.29,0,LY,1602857046
kodiak,57.79,-152.41,-1.0,80,3.1,1,US,1602857046
stornoway,58.21,-6.39,12.22,76,3.6,40,GB,1602857047
tuktoyaktuk,69.45,-133.04,-6.0,85,10.8,90,CA,1602857047
bitkine,11.98,18.21,36.03,21,3.25,0,TD,1602857047
coahuayana,18.73,-103.68,23.0,78,4.1,20,MX,1602857047
necochea,-38.55,-58.74,20.56,76,7.6,0,AR,1602857047
ostrovnoy,68.05,39.51,2.55,79,9.29,100,RU,1602857047
codrington,-38.27,141.97,10.31,95,0.93,100,AU,1602857047
lompoc,34.64,-120.46,16.0,71,2.1,1,US,1602857048
barranca,-10.75,-77.77,19.1,74,3.21,40,PE,1602857048
saint-augustin,51.23,-58.65,11.83,75,7.26,100,CA,1602857048
mamou,10.5,-12.0,27.11,76,0.67,100,GN,1602857048
urubicha,-15.38,-62.95,28.48,51,1.82,100,BO,1602857048
van wert,40.87,-84.58,6.67,74,1.5,1,US,1602857048
olean,42.08,-78.43,6.0,100,2.02,90,US,1602857049
leningradskiy,69.38,178.42,1.79,91,6.41,100,RU,1602857049
sao jose da coroa grande,-8.9,-35.15,28.04,62,4.43,41,BR,1602857049
huarmey,-10.07,-78.15,20.02,70,3.46,19,PE,1602857049
khatanga,71.97,102.5,-19.03,92,1.48,0,RU,1602857049
chokurdakh,70.63,147.92,0.02,99,4.47,100,RU,1602857049
isangel,-19.55,169.27,20.68,83,5.33,100,VU,1602857050
mazagao,-0.12,-51.29,32.0,62,4.1,40,BR,1602857050
san patricio,28.02,-97.52,19.0,77,8.2,90,US,1602857050
mar del plata,-38.0,-57.56,17.0,88,6.7,75,AR,1602856896
pevek,69.7,170.31,3.06,82,5.99,78,RU,1602857050
bathsheba,13.22,-59.52,31.0,70,7.7,40,BB,1602857050
villazon,-22.09,-65.59,9.89,64,2.91,99,BO,1602857044
bastrop,32.76,-91.87,12.0,76,2.1,90,US,1602857051
mwinilunga,-11.74,24.43,30.46,32,3.73,38,ZM,1602857051
akyab,20.15,92.9,29.07,80,2.84,73,MM,1602857051
shingu,33.73,135.98,17.14,81,1.76,73,JP,1602857051
bonavista,48.65,-53.11,10.0,80,0.89,0,CA,1602857051
tiksi,71.69,128.87,-5.73,97,2.59,98,RU,1602857051
luderitz,-26.65,15.16,20.95,53,4.45,0,NA,1602857051
ouadda,8.08,22.4,26.41,68,1.88,4,CF,1602857052
jamestown,42.1,-79.24,6.11,100,1.5,90,US,1602857052
kunagota,46.43,21.05,13.89,93,3.1,75,HU,1602857052
nanortalik,60.14,-45.24,5.82,77,4.92,47,GL,1602857052
vorobyevka,50.65,40.92,19.25,47,5.1,100,RU,1602857052
leh,34.17,77.58,6.93,34,1.35,0,IN,1602856975
missoula,47.02,-113.8,4.0,80,1.5,90,US,1602857053
torbay,47.67,-52.73,12.22,100,1.5,90,CA,1602857053
nantucket,41.28,-70.1,18.0,88,7.2,75,US,1602856991
puerto ayacucho,5.66,-67.62,28.53,78,1.28,100,VE,1602857053
pisco,-13.7,-76.22,18.0,82,3.1,40,PE,1602857054
krasnoarmeysk,51.02,45.7,17.78,43,0.89,100,RU,1602857054
komsomolskiy,40.43,71.72,16.0,59,1.0,0,UZ,1602857054
owando,-0.48,15.9,28.28,77,1.75,86,CG,1602857054
geraldton,-28.77,114.6,19.0,72,9.8,1,AU,1602856954
odweyne,9.41,45.06,31.2,19,2.52,0,SO,1602857055
fukue,32.69,128.84,19.29,69,11.22,100,JP,1602856979
askiz,53.13,90.53,4.74,84,3.09,38,RU,1602857055
iqaluit,63.75,-68.51,1.0,100,2.1,90,CA,1602856802
khuzdar,27.74,66.64,22.5,17,2.89,0,PK,1602857055
port hedland,-20.32,118.57,26.0,57,5.7,0,AU,1602857439
barrow,71.29,-156.79,-8.0,72,7.7,20,US,1602857055
namatanai,-3.67,152.43,26.76,76,3.69,26,PG,1602857055
east london,-33.02,27.91,20.0,77,8.7,75,ZA,1602857056
iskateley,67.68,53.15,-0.89,94,1.99,100,RU,1602857056
airai,-8.93,125.41,16.36,93,0.4,90,TL,1602857056
ketchikan,55.34,-131.65,6.0,93,4.6,20,US,1602857056
faanui,-16.48,-151.75,25.75,80,3.7,30,PF,1602857056
kloulklubed,7.04,134.26,25.0,94,2.51,75,PW,1602857056
talnakh,69.49,88.4,-5.0,92,4.0,40,RU,1602857057
itarema,-2.92,-39.92,31.24,52,7.92,39,BR,1602857057
inhambane,-23.86,35.38,29.0,54,4.6,20,MZ,1602857057
kahului,20.89,-156.47,22.22,73,1.5,1,US,1602857057
bluff,-46.6,168.33,6.11,82,1.34,29,NZ,1602857057
provideniya,64.38,-173.3,4.06,94,7.52,100,RU,1602857057
praia da vitoria,38.73,-27.07,19.0,88,5.63,75,PT,1602857057
mount gambier,-37.83,140.77,13.0,100,0.5,90,AU,1602857036
